customer_rank,age,job,marital,education,housing,loan,contact,month,campaign,pdays,previous,poutcome,subscription_probability,predicted_subscription,campaign_priority
26,68,retired,divorced,high.school,yes,yes,cellular,jul,1,3,1,success,0.971060718039505,yes,High
27,33,admin.,married,university.degree,yes,no,cellular,may,1,3,2,success,0.9705143038086202,yes,High
28,52,technician,married,university.degree,no,no,cellular,may,1,3,4,success,0.9702823966399552,yes,High
29,48,admin.,married,university.degree,yes,yes,cellular,aug,1,0,3,success,0.9699686140813653,yes,High
30,58,blue-collar,married,basic.4y,yes,no,cellular,aug,1,3,1,success,0.9697043263259121,yes,High
31,52,admin.,married,university.degree,no,no,cellular,may,1,3,2,success,0.9682952770147485,yes,High
32,52,management,married,university.degree,no,no,cellular,may,2,9,1,success,0.9675079568879189,yes,High
33,23,student,single,professional.course,yes,no,cellular,sep,1,8,2,success,0.9673102100911057,yes,High
34,37,admin.,single,high.school,no,no,cellular,mar,2,4,2,success,0.9670498103487498,yes,High
35,32,admin.,single,university.degree,yes,no,cellular,jul,2,6,1,success,0.9662685262097739,yes,High
36,21,student,single,basic.9y,no,no,cellular,mar,1,6,1,success,0.9660174170522947,yes,High
37,24,student,single,high.school,yes,yes,cellular,sep,2,6,2,success,0.9659626837741371,yes,High
38,80,retired,divorced,basic.4y,yes,yes,cellular,apr,1,10,2,success,0.9647351635372274,yes,High
39,48,admin.,divorced,high.school,no,no,cellular,jun,1,6,1,success,0.9635117247971249,yes,High
40,36,admin.,single,university.degree,no,no,cellular,jun,1,7,1,success,0.963453693829421,yes,High
41,34,admin.,single,university.degree,no,no,cellular,nov,1,7,2,success,0.9628349555840827,yes,High
42,37,unemployed,single,university.degree,yes,no,cellular,jun,2,6,1,success,0.9627589205433493,yes,High
43,33,admin.,married,university.degree,yes,no,cellular,nov,2,3,1,success,0.9626636059054338,yes,High
44,44,services,divorced,basic.6y,yes,no,cellular,aug,3,0,1,success,0.9626515173762544,yes,High
45,33,admin.,married,university.degree,yes,no,cellular,nov,2,3,3,success,0.9626133423853173,yes,High
46,30,admin.,single,university.degree,no,no,cellular,jul,1,3,2,success,0.961988372729363,yes,High
47,30,technician,single,professional.course,no,no,cellular,sep,1,6,1,success,0.9617899139542667,yes,High
48,20,student,single,unknown,no,no,cellular,may,2,3,5,success,0.9615815532630734,yes,High
49,38,admin.,married,university.degree,yes,no,cellular,nov,1,3,3,success,0.9612862114769319,yes,High
50,32,admin.,single,university.degree,yes,no,cellular,jul,2,15,1,success,0.9606820700787914,yes,High
51,54,admin.,married,high.school,no,no,cellular,oct,2,6,2,success,0.9603341142628775,yes,High
52,48,technician,married,professional.course,no,no,cellular,oct,1,6,3,success,0.9602144825154156,yes,High
53,56,retired,married,high.school,no,no,cellular,jun,1,3,1,success,0.9600525699070077,yes,High
54,33,admin.,single,university.degree,yes,no,cellular,apr,1,7,2,success,0.9580352528178608,yes,High
55,37,housemaid,married,university.degree,no,no,cellular,oct,2,13,2,success,0.9579246162796672,yes,High
56,29,admin.,married,university.degree,unknown,unknown,cellular,jul,1,3,1,success,0.9578995353846564,yes,High
57,72,retired,married,basic.4y,no,yes,cellular,jul,4,8,1,success,0.9577645309502905,yes,High
58,79,retired,married,basic.4y,no,yes,cellular,nov,2,3,1,success,0.9573549286290575,yes,High
59,33,admin.,single,university.degree,no,no,cellular,mar,1,6,2,success,0.956836612236595,yes,High
60,36,unemployed,married,high.school,yes,no,cellular,oct,1,3,1,success,0.9567813228724943,yes,High
61,21,student,single,high.school,yes,no,cellular,aug,3,9,2,success,0.9567642096331223,yes,High
62,31,admin.,single,university.degree,yes,no,cellular,jul,2,13,2,success,0.9566661888686055,yes,High
63,80,retired,married,basic.4y,no,no,cellular,may,1,3,3,success,0.9566067554403238,yes,High
64,35,admin.,married,university.degree,no,no,cellular,jul,2,3,4,success,0.9562489592513037,yes,High
65,30,admin.,single,university.degree,no,no,cellular,may,1,6,1,success,0.9561317407684448,yes,High
66,47,admin.,single,basic.9y,yes,yes,cellular,jul,2,6,1,success,0.9561303435122289,yes,High
67,59,retired,divorced,basic.4y,yes,yes,cellular,jul,1,6,1,success,0.9555932361117879,yes,High
68,37,management,married,university.degree,yes,no,cellular,oct,3,5,5,success,0.9549769023809805,yes,High
69,45,admin.,divorced,university.degree,no,yes,cellular,jun,1,3,2,success,0.9548902120377394,yes,High
70,60,retired,married,professional.course,yes,yes,cellular,jul,4,6,2,success,0.9541626460713964,yes,High
71,30,admin.,single,university.degree,yes,no,cellular,jul,2,3,1,success,0.9541178470055335,yes,High
72,36,management,married,university.degree,no,no,cellular,jun,1,3,2,success,0.9536434692838032,yes,High
73,46,technician,married,professional.course,no,yes,cellular,apr,1,5,2,success,0.9533342870857894,yes,High
74,65,retired,married,basic.4y,yes,yes,cellular,oct,1,3,3,success,0.9532627667469595,yes,High
75,20,student,single,basic.9y,yes,no,cellular,jul,3,6,3,success,0.9521510167275962,yes,High
76,26,technician,single,university.degree,no,no,cellular,jul,2,6,1,success,0.9511404705094839,yes,High
77,37,technician,married,professional.course,yes,yes,cellular,mar,1,9,1,success,0.951066606811538,yes,High
78,65,management,married,unknown,no,no,cellular,dec,2,9,1,success,0.9509580823902426,yes,High
79,34,admin.,divorced,high.school,no,no,cellular,nov,2,6,3,success,0.9505457015033886,yes,High
80,61,management,married,university.degree,yes,no,cellular,nov,1,7,1,success,0.9494159916952954,yes,High
81,26,student,single,high.school,yes,yes,cellular,apr,1,6,2,success,0.9493913145057341,yes,High
82,29,admin.,single,high.school,yes,no,cellular,nov,2,7,2,success,0.9492042805836945,yes,High
83,56,retired,married,professional.course,unknown,unknown,cellular,oct,1,6,1,success,0.9481415686720669,yes,High
84,34,technician,married,professional.course,yes,no,cellular,oct,2,8,1,success,0.947990024705741,yes,High
85,31,admin.,single,university.degree,unknown,unknown,cellular,oct,1,3,1,success,0.9473240504417773,yes,High
86,37,admin.,married,university.degree,unknown,unknown,cellular,jun,1,10,1,success,0.9455500161615331,yes,High
87,30,student,single,unknown,no,no,cellular,mar,1,14,1,success,0.9455411651511262,yes,High
88,26,admin.,married,high.school,yes,no,cellular,nov,1,7,1,success,0.9455038046449286,yes,High
89,60,unemployed,married,basic.4y,no,no,cellular,nov,2,6,1,success,0.9454296307313835,yes,High
90,29,admin.,married,high.school,yes,no,cellular,jun,2,13,1,success,0.9453348147820763,yes,High
91,33,student,married,professional.course,yes,no,cellular,aug,3,3,4,success,0.9448206686719133,yes,High
92,32,admin.,single,university.degree,no,no,cellular,jun,1,12,2,success,0.9447713648965039,yes,High
93,26,admin.,single,university.degree,no,yes,cellular,jun,2,6,1,success,0.9441234390024834,yes,High
94,60,self-employed,divorced,university.degree,no,no,cellular,sep,1,3,1,success,0.9432439472851641,yes,High
95,37,admin.,divorced,university.degree,no,no,cellular,aug,3,9,1,success,0.9430529967231694,yes,High
96,30,admin.,married,university.degree,no,yes,cellular,may,2,9,2,success,0.9429627066192278,yes,High
97,23,student,single,university.degree,yes,no,cellular,dec,2,6,2,success,0.9428727468984794,yes,High
98,24,admin.,single,university.degree,yes,yes,cellular,aug,5,6,2,success,0.9427292407114173,yes,High
99,83,retired,married,high.school,no,no,cellular,dec,1,4,3,success,0.942649629279303,yes,High
100,30,technician,married,university.degree,yes,no,cellular,dec,2,6,1,success,0.9421727543842451,yes,High
101,35,technician,single,professional.course,yes,no,cellular,jun,1,6,2,success,0.9417638627876869,yes,High
102,32,admin.,married,university.degree,no,yes,cellular,jun,3,3,1,success,0.9416782292807898,yes,High
103,29,management,married,university.degree,yes,no,cellular,nov,1,9,1,success,0.9413741926434036,yes,High
104,47,technician,married,basic.6y,no,no,cellular,sep,2,6,3,success,0.9412000132423564,yes,High
105,77,retired,married,university.degree,yes,no,telephone,may,1,3,4,success,0.9411340411547453,yes,High
106,36,blue-collar,single,high.school,yes,yes,cellular,jun,2,3,1,success,0.9404894183846014,yes,High
107,62,retired,married,university.degree,no,no,cellular,nov,2,6,3,success,0.9402207590689019,yes,High
108,63,admin.,married,university.degree,yes,no,cellular,oct,2,6,1,success,0.9399723366997762,yes,High
109,56,technician,married,basic.4y,no,no,cellular,oct,3,3,1,success,0.9382499745984816,yes,High
110,56,admin.,married,university.degree,yes,no,cellular,sep,2,3,2,success,0.9376511981794539,yes,High
111,31,technician,married,university.degree,yes,yes,cellular,oct,4,6,2,success,0.9356882766931399,yes,High
112,25,admin.,single,university.degree,yes,no,cellular,sep,1,1,1,success,0.9350790617830612,yes,High
113,38,entrepreneur,married,basic.6y,no,no,cellular,jun,1,2,3,success,0.9349169549355961,yes,High
114,25,admin.,single,university.degree,yes,yes,cellular,jun,3,4,1,success,0.9343561375340182,yes,High
115,43,self-employed,married,university.degree,yes,no,cellular,mar,2,9,1,success,0.9339265660441345,yes,High
116,34,technician,single,basic.9y,no,no,cellular,aug,3,6,3,success,0.9338343429572963,yes,High
117,37,technician,married,professional.course,no,no,cellular,apr,1,18,1,success,0.933434211180785,yes,High
118,35,technician,divorced,basic.4y,yes,no,cellular,nov,3,4,2,success,0.9330357888559005,yes,High
119,27,admin.,married,university.degree,yes,no,cellular,aug,5,12,1,success,0.9326979672284221,yes,High
120,56,technician,divorced,professional.course,no,no,cellular,oct,1,3,2,success,0.9323452882274756,yes,High
121,25,services,single,unknown,yes,no,cellular,jun,2,3,3,success,0.930824713483312,yes,High
122,43,admin.,married,high.school,yes,no,cellular,dec,4,6,1,success,0.9294515257758114,yes,High
123,53,housemaid,married,basic.4y,no,yes,telephone,nov,1,3,1,success,0.9294151457798817,yes,High
124,50,management,married,university.degree,yes,no,cellular,oct,2,4,1,success,0.9286528396132957,yes,High
125,34,technician,single,unknown,yes,no,cellular,aug,2,3,1,success,0.9265196693866572,yes,High
126,27,unknown,single,university.degree,yes,no,cellular,jun,4,3,2,success,0.925737954586783,yes,High
127,73,retired,married,basic.4y,yes,no,cellular,jul,1,999,0,nonexistent,0.9256541935677515,yes,High
128,39,technician,divorced,high.school,no,no,cellular,mar,1,3,1,success,0.9255904071554691,yes,High
129,45,admin.,married,university.degree,no,no,cellular,sep,1,3,2,success,0.923872316350735,yes,High
130,30,technician,unknown,university.degree,no,no,cellular,oct,2,16,1,success,0.9234831123971304,yes,High
131,40,services,married,professional.course,yes,no,cellular,oct,1,3,1,success,0.9231597188998012,yes,High
132,25,technician,single,university.degree,yes,no,cellular,jun,2,3,1,success,0.9231349744059419,yes,High
133,74,retired,divorced,basic.4y,yes,no,cellular,oct,3,3,2,success,0.9216978221175562,yes,High
134,25,admin.,single,university.degree,no,yes,cellular,nov,1,3,2,success,0.9214554326690203,yes,High
135,35,blue-collar,married,basic.9y,yes,no,cellular,dec,1,4,3,success,0.9200023890348075,yes,High
136,40,services,married,high.school,yes,no,cellular,nov,3,3,2,success,0.9199783391053391,yes,High
137,49,admin.,married,high.school,no,no,cellular,oct,1,6,3,success,0.9199293638510763,yes,High
138,36,housemaid,single,university.degree,unknown,unknown,cellular,aug,2,3,1,success,0.9193521690014804,yes,High
139,30,admin.,single,university.degree,yes,yes,cellular,aug,1,4,1,success,0.9189260695452551,yes,High
140,35,technician,single,professional.course,yes,no,cellular,jul,6,6,1,success,0.9185724563897385,yes,High
141,39,technician,divorced,high.school,no,no,cellular,mar,1,12,2,success,0.9182976799886565,yes,High
142,63,housemaid,married,basic.4y,yes,no,cellular,sep,1,3,1,success,0.9176969136003679,yes,High
143,51,admin.,divorced,high.school,yes,no,cellular,aug,1,6,1,success,0.9170595494873527,yes,High
144,52,admin.,married,university.degree,yes,no,cellular,may,2,999,0,nonexistent,0.9168568545867554,yes,High
145,25,services,single,high.school,yes,no,cellular,jun,2,3,1,success,0.916443299450687,yes,High
146,61,retired,married,basic.4y,yes,no,cellular,aug,1,15,1,success,0.9154067542730239,yes,High
147,60,retired,married,professional.course,yes,no,cellular,sep,1,3,1,success,0.9152192913781781,yes,High
148,48,admin.,divorced,university.degree,yes,no,cellular,aug,1,4,1,success,0.9150557075153226,yes,High
149,34,admin.,single,university.degree,yes,no,cellular,mar,2,999,0,nonexistent,0.9148720181678334,yes,High
150,85,retired,single,professional.course,no,no,cellular,mar,7,7,2,success,0.9146022922366587,yes,High
151,42,blue-collar,married,basic.6y,yes,yes,cellular,mar,1,7,3,failure,0.9142663038223198,yes,High
152,46,admin.,married,university.degree,yes,no,cellular,mar,1,999,0,nonexistent,0.9141290469870346,yes,High
153,80,retired,divorced,basic.4y,yes,yes,cellular,apr,2,999,0,nonexistent,0.9140178696244025,yes,High
154,34,admin.,single,university.degree,no,yes,cellular,mar,1,999,0,nonexistent,0.9138602451811046,yes,High
155,66,management,divorced,university.degree,no,no,cellular,sep,1,1,1,success,0.9138048126452406,yes,High
156,57,unknown,married,basic.4y,yes,no,cellular,jul,3,999,0,nonexistent,0.9134445019252003,yes,High
157,70,admin.,married,basic.4y,yes,yes,cellular,sep,1,3,1,success,0.9120957438721398,yes,High
158,66,retired,married,basic.4y,unknown,unknown,cellular,oct,1,6,3,success,0.9119051534222192,yes,High
159,22,student,single,high.school,no,no,cellular,oct,3,6,1,success,0.9118338006129001,yes,High
160,98,retired,married,basic.4y,yes,no,cellular,oct,1,2,2,success,0.9116926158848474,yes,High
161,53,unknown,married,professional.course,no,no,cellular,jun,2,3,1,success,0.9109719429845543,yes,High
162,40,blue-collar,divorced,professional.course,no,no,cellular,jun,2,3,1,success,0.9108588269342041,yes,High
163,52,admin.,married,professional.course,no,no,cellular,jul,1,999,0,nonexistent,0.9108166774722328,yes,High
164,28,services,single,basic.6y,no,no,cellular,jun,2,4,1,success,0.9107943014352771,yes,High
165,37,admin.,married,high.school,yes,no,cellular,apr,1,2,1,success,0.9105265678130106,yes,High
166,42,self-employed,married,university.degree,yes,no,cellular,jun,1,3,1,success,0.9097888965287095,yes,High
167,49,admin.,married,high.school,no,no,cellular,sep,1,3,1,success,0.9093165327350069,yes,High
168,28,management,single,university.degree,yes,no,cellular,jun,1,4,1,success,0.9090792764024814,yes,High
169,41,technician,married,professional.course,no,no,cellular,nov,2,6,1,success,0.908889240623225,yes,High
170,27,admin.,single,university.degree,no,no,cellular,mar,1,999,0,nonexistent,0.908357826644638,yes,High
171,45,admin.,married,university.degree,no,no,cellular,jul,1,13,1,success,0.9082646591317644,yes,High
172,40,technician,single,university.degree,yes,no,cellular,nov,2,3,1,success,0.9075712380350612,yes,High
173,85,retired,divorced,basic.4y,yes,no,cellular,dec,3,6,1,success,0.9066420288783723,yes,High
174,46,housemaid,single,university.degree,yes,yes,cellular,jun,1,3,1,success,0.9063779358762918,yes,High
175,33,management,married,university.degree,no,no,telephone,aug,1,6,2,success,0.90630506841583,yes,High
176,28,technician,single,high.school,unknown,unknown,cellular,oct,1,6,1,success,0.9061779914730829,yes,High
177,53,admin.,single,university.degree,no,no,cellular,apr,1,2,1,success,0.9060847185057844,yes,High
178,22,student,single,basic.9y,no,no,cellular,oct,2,6,1,success,0.90585835591166,yes,High
179,54,blue-collar,married,basic.9y,yes,no,cellular,jun,2,3,1,success,0.9055318390420724,yes,High
180,25,admin.,single,university.degree,yes,no,cellular,aug,1,6,1,success,0.9051127508750904,yes,High
181,37,admin.,married,high.school,yes,no,cellular,jul,2,999,0,nonexistent,0.9046562297961003,yes,High
182,74,retired,divorced,basic.4y,yes,no,cellular,aug,1,13,1,success,0.9043545451645983,yes,High
183,31,student,single,university.degree,no,no,cellular,aug,1,9,2,failure,0.9042619831084735,yes,High
184,34,technician,single,professional.course,no,no,cellular,mar,1,999,0,nonexistent,0.9038827459502651,yes,High
185,29,admin.,single,university.degree,yes,no,telephone,jun,2,3,1,success,0.9035208298767122,yes,High
186,46,admin.,married,university.degree,yes,no,cellular,jul,3,999,0,nonexistent,0.9030638843417124,yes,High
187,28,admin.,single,university.degree,no,no,cellular,mar,1,999,0,nonexistent,0.9030473455238086,yes,High
188,38,technician,married,professional.course,yes,no,cellular,jun,4,3,1,success,0.9026172600679193,yes,High
189,43,technician,married,high.school,yes,no,cellular,sep,1,3,1,success,0.9014724072727095,yes,High
190,56,retired,married,basic.4y,no,no,cellular,mar,2,9,2,failure,0.9006368512366048,yes,High
191,66,retired,married,high.school,no,no,cellular,mar,1,999,0,nonexistent,0.900314206320182,yes,High
192,43,technician,married,professional.course,yes,no,cellular,jul,1,999,0,nonexistent,0.9000283573616281,yes,High
193,74,retired,divorced,basic.4y,yes,yes,cellular,jul,2,999,0,nonexistent,0.899970269969021,yes,High
194,28,admin.,married,high.school,no,yes,cellular,may,2,999,0,nonexistent,0.899615379246616,yes,High
195,36,admin.,single,high.school,yes,no,cellular,aug,1,3,2,success,0.8994698205685324,yes,High
196,17,student,single,unknown,no,yes,cellular,oct,1,2,2,success,0.8994022051932401,yes,High
197,29,admin.,single,university.degree,yes,no,cellular,jul,1,999,0,nonexistent,0.8991009032121949,yes,High
198,26,admin.,single,high.school,no,no,telephone,oct,2,4,1,success,0.8990394593427641,yes,High
199,41,admin.,married,university.degree,yes,no,cellular,apr,1,999,0,nonexistent,0.898835489570224,yes,High
200,34,admin.,married,high.school,no,yes,cellular,sep,2,999,0,nonexistent,0.8984094963057185,yes,High
201,56,retired,married,high.school,yes,yes,cellular,aug,1,3,2,success,0.8983363660817795,yes,High
202,63,admin.,married,university.degree,yes,no,cellular,jul,2,999,0,nonexistent,0.8981665596646629,yes,High
203,32,management,single,university.degree,no,no,cellular,aug,1,3,2,success,0.8978826213097896,yes,High
204,35,admin.,single,university.degree,yes,no,cellular,apr,2,999,0,nonexistent,0.8975506496078137,yes,High
205,61,retired,married,high.school,yes,no,cellular,sep,1,3,1,success,0.8973479480816732,yes,High
206,56,management,married,professional.course,no,no,cellular,dec,1,999,0,nonexistent,0.8969689621132582,yes,High
207,33,technician,married,university.degree,no,no,cellular,sep,1,999,0,nonexistent,0.8969678407668117,yes,High
208,53,admin.,divorced,university.degree,no,no,cellular,mar,1,999,0,nonexistent,0.8967010433030626,yes,High
209,24,student,single,high.school,no,no,cellular,jun,6,6,1,success,0.8966909969668929,yes,High
210,88,retired,divorced,basic.4y,yes,yes,cellular,mar,3,999,0,nonexistent,0.8966871616038886,yes,High
211,28,student,single,university.degree,unknown,unknown,cellular,may,2,999,0,nonexistent,0.8959570061467175,yes,High
212,35,management,married,university.degree,no,no,cellular,nov,3,7,3,failure,0.8954562746899526,yes,High
213,68,retired,married,basic.4y,yes,no,cellular,apr,1,999,0,nonexistent,0.8951385744219955,yes,High
214,63,retired,married,basic.4y,no,no,cellular,jul,1,999,0,nonexistent,0.8946119553996887,yes,High
215,52,admin.,married,professional.course,no,no,cellular,sep,2,999,0,nonexistent,0.8944805529476221,yes,High
216,59,admin.,divorced,university.degree,yes,no,cellular,mar,1,999,0,nonexistent,0.8930959023212406,yes,High
217,34,admin.,divorced,high.school,no,no,cellular,mar,1,999,0,nonexistent,0.8928841237130278,yes,High
218,31,admin.,married,university.degree,unknown,unknown,cellular,mar,1,999,0,nonexistent,0.8925053080950279,yes,High
219,34,services,married,basic.9y,no,no,cellular,jul,1,999,0,nonexistent,0.8924254071159242,yes,High
220,51,services,married,high.school,yes,no,cellular,nov,3,6,3,success,0.892419783700667,yes,High
221,53,blue-collar,single,basic.9y,yes,no,cellular,jul,1,999,0,nonexistent,0.8922636598752317,yes,High
222,53,admin.,married,high.school,yes,no,cellular,jul,6,999,0,nonexistent,0.8920444868994847,yes,High
223,61,retired,married,high.school,yes,no,cellular,apr,4,999,0,nonexistent,0.8915981793792349,yes,High
224,45,blue-collar,married,high.school,yes,yes,cellular,nov,2,5,3,success,0.891228035375459,yes,High
225,25,admin.,single,university.degree,no,no,cellular,aug,1,999,0,nonexistent,0.8910391212367146,yes,High
226,59,admin.,married,high.school,yes,no,cellular,aug,2,2,1,success,0.8909437782344143,yes,High
227,53,technician,married,high.school,yes,no,cellular,mar,2,999,0,nonexistent,0.8908485956443244,yes,High
228,37,admin.,married,high.school,no,no,telephone,apr,2,999,0,nonexistent,0.890434324033113,yes,High
229,31,unknown,single,high.school,no,no,cellular,may,5,6,2,success,0.8897922806973446,yes,High
230,36,blue-collar,single,basic.6y,yes,no,cellular,nov,1,999,0,nonexistent,0.8890470554349734,yes,High
231,34,admin.,single,university.degree,no,no,telephone,oct,1,999,0,nonexistent,0.8888110220896516,yes,High
232,27,student,single,basic.9y,yes,no,cellular,aug,1,999,0,nonexistent,0.8887402276884251,yes,High
233,61,retired,married,university.degree,no,no,telephone,aug,2,3,1,success,0.887988185254092,yes,High
234,50,management,married,university.degree,no,no,telephone,jun,5,6,1,success,0.8878520405316923,yes,High
235,30,admin.,married,university.degree,no,no,telephone,oct,1,999,0,nonexistent,0.8875097327215887,yes,High
236,64,retired,married,basic.4y,yes,no,cellular,mar,2,999,0,nonexistent,0.8871176006367024,yes,High
237,27,student,single,high.school,no,no,cellular,mar,1,999,0,nonexistent,0.8870056999254746,yes,High
238,27,admin.,single,university.degree,no,no,cellular,oct,1,999,0,nonexistent,0.8865657445949631,yes,High
239,48,admin.,married,professional.course,yes,no,cellular,apr,1,7,1,success,0.8863867220087106,yes,High
240,37,admin.,married,university.degree,no,no,cellular,nov,2,6,1,success,0.8860888231319692,yes,High
241,30,student,single,professional.course,yes,no,cellular,sep,4,19,1,success,0.8855942913220781,yes,High
242,35,technician,divorced,basic.4y,no,no,cellular,nov,1,999,0,nonexistent,0.8855925432121147,yes,High
243,22,student,single,high.school,no,no,cellular,aug,2,3,1,success,0.8855446685376207,yes,High
244,31,technician,married,university.degree,no,no,cellular,mar,4,999,0,nonexistent,0.8855318895275934,yes,High
245,49,entrepreneur,single,university.degree,yes,no,cellular,aug,6,5,1,success,0.8854034635904304,yes,High
246,37,admin.,married,university.degree,yes,no,cellular,nov,1,999,0,nonexistent,0.8852306097498693,yes,High
247,17,student,single,basic.9y,yes,no,cellular,aug,3,4,2,success,0.8850978914699518,yes,High
248,53,technician,married,university.degree,no,no,cellular,sep,2,999,0,nonexistent,0.884796363038988,yes,High
249,37,management,married,high.school,yes,no,cellular,aug,1,999,0,nonexistent,0.8844290034836689,yes,High
250,37,admin.,single,university.degree,yes,yes,cellular,jun,3,999,0,nonexistent,0.8842738403745616,yes,High
251,57,admin.,married,high.school,yes,no,cellular,nov,1,3,3,success,0.8842533341483907,yes,High
252,74,retired,divorced,basic.4y,yes,no,cellular,apr,2,999,0,nonexistent,0.8838821492255605,yes,High
253,21,admin.,single,university.degree,yes,no,cellular,aug,2,4,1,success,0.8835162441230936,yes,High
254,36,admin.,married,university.degree,yes,no,cellular,apr,1,0,1,success,0.8831307134083615,yes,High
255,33,entrepreneur,married,university.degree,yes,no,telephone,oct,1,999,0,nonexistent,0.8829551922201732,yes,High
256,49,admin.,married,high.school,no,no,cellular,apr,1,6,1,success,0.882515521153227,yes,High
257,45,unemployed,married,high.school,no,no,cellular,sep,2,999,0,nonexistent,0.8821549421911405,yes,High
258,32,student,single,unknown,yes,no,cellular,may,2,999,0,nonexistent,0.8818851466990858,yes,High
259,27,services,single,university.degree,no,no,cellular,mar,1,999,0,nonexistent,0.881872604681298,yes,High
260,26,self-employed,single,university.degree,yes,no,cellular,sep,1,999,0,nonexistent,0.8818245500682191,yes,High
261,56,admin.,married,basic.9y,yes,no,cellular,aug,1,4,1,success,0.8816131900850246,yes,High
262,48,entrepreneur,married,university.degree,no,yes,cellular,aug,2,4,2,success,0.881441884126919,yes,High
263,22,technician,single,professional.course,yes,no,cellular,aug,1,999,0,nonexistent,0.8813041213948494,yes,High
264,84,retired,married,high.school,no,no,cellular,dec,1,999,0,nonexistent,0.8810442646394546,yes,High
265,33,technician,married,professional.course,yes,no,cellular,sep,1,999,0,nonexistent,0.8810441761116756,yes,High
266,35,technician,married,professional.course,yes,no,cellular,sep,2,999,0,nonexistent,0.8809168628943889,yes,High
267,43,services,married,high.school,no,yes,cellular,aug,2,3,2,success,0.8809143144912698,yes,High
268,26,admin.,married,high.school,no,no,cellular,jun,4,12,3,failure,0.8808305807924527,yes,High
269,29,admin.,single,high.school,no,no,cellular,jun,5,999,0,nonexistent,0.8806153010058534,yes,High
270,26,admin.,single,university.degree,yes,no,cellular,sep,1,999,0,nonexistent,0.880466207354105,yes,High
271,28,student,single,basic.9y,yes,no,cellular,mar,2,999,0,nonexistent,0.8804376815174457,yes,High
272,31,self-employed,single,university.degree,no,no,cellular,apr,1,999,0,nonexistent,0.8802676540995583,yes,High
273,24,blue-collar,single,basic.9y,unknown,unknown,cellular,jun,1,3,1,success,0.8799731599470749,yes,High
274,29,blue-collar,single,professional.course,yes,yes,cellular,mar,1,999,0,nonexistent,0.8799652660222971,yes,High
275,78,retired,married,basic.4y,yes,no,telephone,mar,1,999,0,nonexistent,0.8793439893858094,yes,High
276,65,technician,married,professional.course,no,no,cellular,sep,1,999,0,nonexistent,0.8791444358609853,yes,High
277,33,technician,single,professional.course,yes,no,cellular,sep,1,999,0,nonexistent,0.8785018172526666,yes,High
278,61,retired,married,basic.9y,no,no,cellular,apr,2,999,0,nonexistent,0.8784310745054118,yes,High
279,33,admin.,single,university.degree,yes,no,cellular,jul,4,999,0,nonexistent,0.8778299717438801,yes,High
280,43,management,married,university.degree,no,no,cellular,jun,1,999,0,nonexistent,0.8774625598536382,yes,High
